,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
ENSMUSG00000075143,1,2,0,0,2.091382384,3,2,0,0,0
ENSMUSG00000075144,7.982157046,1.333037165,2.126964153,0,0,0,0,1.232485344,0.163485119,0
ENSMUSG00000075145,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075146,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075148,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075149,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075150,0,0,0,0,0,0,0,1.003452299,0,0
ENSMUSG00000075151,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075153,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075155,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075156,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075158,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075159,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000075160,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000075161,0,0,1.000680543,1,1,0,1,1,3,1
ENSMUSG00000075162,0,0,1,0,0,1,2,0,3,0
ENSMUSG00000075163,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075164,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075165,1.002725586,1.54441307,2.790541456,1,1,1.02749926,1.006534135,0,1.036946203,0
ENSMUSG00000075166,0,3.000155942,0,0.751291406,3.000373148,1.000082341,0,2.000230412,5.000352382,1.000095739
ENSMUSG00000075167,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075168,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075169,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075170,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000075171,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075172,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000075174,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075175,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075176,0,0,1,0,1,0,0,1,0,2
ENSMUSG00000075179,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075181,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075184,7,1,13,0,3,4,0,0,0,0
ENSMUSG00000075185,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075186,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075187,0,0,1,0,0,0,1,0,0,0
ENSMUSG00000075188,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075189,0,2.038093487,1.030884827,0,0,0,2.059292153,1.013320207,1.01509442,0
ENSMUSG00000075190,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075192,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075193,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000075194,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075195,1,1,1,1,0,1,1,0,0,0
ENSMUSG00000075196,0,1.000057505,0,1.003181915,0,0,0,1.000127455,0,0
ENSMUSG00000075197,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075198,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075199,0,0,0,0,1.000070134,0,0,0,1,0
ENSMUSG00000075200,0,1,0,1,1,0,0,0,0,0
ENSMUSG00000075201,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075202,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075203,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075204,0.134127803,7.576984698,1.327623578,2.276759343,5.87614408,0,2.064184841,2.243262086,0,2.035586641
ENSMUSG00000075205,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075206,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075208,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075209,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075210,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075211,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075212,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075214,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075215,0,0,2.000163462,0,0,0,1.000418754,0,0,0
ENSMUSG00000075217,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000075218,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075219,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075220,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075221,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075222,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075223,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075224,0,3,1,5,4,2,2,1,0,2
ENSMUSG00000075225,32,317.703921,73,254.4823285,382,170,267,294,286.1412415,279
ENSMUSG00000075227,113,210,205,203,268,295,222,134,144,178
ENSMUSG00000075228,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075229,164,85,273,90,102,140,84,69,82,74
ENSMUSG00000075232,878.1261308,1821.890067,1143.52674,1453,2016.481864,1524.670304,1557.999713,1454.484093,1739.356856,1519
ENSMUSG00000075245,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075249,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075254,385.0003782,830.9954259,270.0010554,625.000104,891.0006008,645,696.0001665,655.0002196,773.0001663,713.0002117
ENSMUSG00000075256,21,245.4340247,71.06397586,223.6282627,304.6163097,181.5961003,177.2749129,258.5337616,249.2154634,184.2155494
ENSMUSG00000075265,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075266,51.65767899,34.91901384,74.92572356,36.9536083,49.5938185,45.03090134,41.78896843,28.52210441,26.16319727,28.10353239
ENSMUSG00000075267,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000075268,0,0,1.703283087,1.672718115,0,0,0,0,0,0
ENSMUSG00000075269,6,2,0,2,0,2,1,0,0,2
ENSMUSG00000075270,19.00049071,4,27,4,1,1,2,0,0,0
ENSMUSG00000075271,25.96527167,135.5273998,75.92561374,94.75718192,163.1622398,99.81017264,102.9223665,106.2289507,106.6192284,95.66346816
ENSMUSG00000075272,4.189574849,10.00576852,0,9.780803177,12.62180414,4.583211903,7.421143932,1.758570781,3.992185336,4.964208991
ENSMUSG00000075273,97.84515348,479.4668317,189.0743863,324.4620149,453.2159561,316.6066155,360.6564896,352.0124785,507.3885862,295.3723229
ENSMUSG00000075276,3.741406437,1.258625882,0,0,0,0,0,0,0,0
ENSMUSG00000075277,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075279,182.1343655,177.6891271,270.4911019,176.1139097,231.7550655,215.9607522,214.4424208,136.8528796,173.1453728,143.8474542
ENSMUSG00000075284,1423,414,552,435,315,511,162,140,194,254
ENSMUSG00000075286,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000075288,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075289,50.22901874,33.87374197,7,45.70176103,50.06450354,55.42562504,17,28,33,45.00305859
ENSMUSG00000075296,3.009351201,1,3,4,0,0,0,0,0,0
ENSMUSG00000075297,5,1,0,0,0,0,0,0,0,0
ENSMUSG00000075302,3,1,3,1,1,2,0,0,0,0
ENSMUSG00000075304,73,8,225,36,27,50,10,2,2,1
ENSMUSG00000075307,8.62383043,13.29789997,4.209527183,4.837277112,6.665484434,0,3.068262292,10.64090425,2.962116236,3.000889513
ENSMUSG00000075312,10.32033248,0,51.83231582,15.94863071,0,6.357811872,18.25949514,0,11.12279184,0
ENSMUSG00000075316,43,481.7652737,111,410.62542,561.6062606,271.6628206,324.1927927,350.8504227,501.7410752,373.4431084
ENSMUSG00000075318,1.000017679,7.067261447,2.000030312,18,16.05782286,8.000140718,4.031916677,14.06041687,27.20591456,10.00019384
ENSMUSG00000075324,18.00053334,13.00020441,2.000072765,11.00097604,8.357984084,2.000069313,3.000065061,7.000606278,7.000138335,17.00035089
ENSMUSG00000075325,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075327,219,170,188,136.8232588,154,137,138,121,122,179.1758806
ENSMUSG00000075330,0,0,1,1,1,0,0,0,0,0
ENSMUSG00000075334,4,12,4,13,21,5,22,8,5,30
ENSMUSG00000075335,0,0,0,0,0,1,2,0,0,0
ENSMUSG00000075359,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075370,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000075376,439.00649,599.7077328,448.0179861,491.0000448,589.0439727,471,484,533.0002451,552.7484699,480.3692629
ENSMUSG00000075377,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000075378,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075379,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075380,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075382,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075383,1.010281624,0,1,0,1,0,2.062333236,0,0.652062014,0
ENSMUSG00000075384,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075387,1,0,0,0,1,0,0,0,1,0
ENSMUSG00000075389,25,69,29,51,75,63,54,63,41,43
ENSMUSG00000075390,0,0,1.93E-07,0,0,0,0,0,0,0
ENSMUSG00000075391,0,2.026669825,0,0,0,0,0,0,0,0
ENSMUSG00000075394,3,2,0,0,4,5,0,2,1,2
ENSMUSG00000075395,2,9,3,1,6,4,5,4,3,4
ENSMUSG00000075402,0,2,0,0,1,2,0,0,0,4
ENSMUSG00000075405,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075408,4,1,0,0,0,1,0,2,0,1
ENSMUSG00000075410,1,0,1,0,0,1,1,1,0,0
ENSMUSG00000075415,986.2865316,645.2825532,229.1069193,534.2070528,487.2818869,608,321.2886137,270.442679,347.3213477,408.3669107
ENSMUSG00000075416,1,0,1,3,0,1,2,2.666105876,0,1
ENSMUSG00000075419,170,191,311,148,243,207,200,138,156,108
ENSMUSG00000075420,186,17,260,81,48,92,48,14,20,27
ENSMUSG00000075425,1,1.00496018,0,0,1,0,0,1,0,2
ENSMUSG00000075427,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075431,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075437,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000075463,8,37,10,17,20,20,36,20,51,24
ENSMUSG00000075465,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075467,302.084904,247.1033548,442.2275738,231.0828874,262.0976954,268.112881,241.2560299,194.1485839,198.2741144,226.3155204
ENSMUSG00000075469,1,0,1.351653267,0,0,0,1,2,0,2
ENSMUSG00000075470,617,1165,789,1009,1221,700,762,885,1080,881
ENSMUSG00000075478,1,16,3,10,11,6,14,18,16,16
ENSMUSG00000075486,268,348,367,261,429,434,323,289,333,283
ENSMUSG00000075502,4.353809216,2.326320354,13.58372973,8.834867849,2.291711605,4.277238983,2.305489287,1.105316411,2.234380309,4.432624746
ENSMUSG00000075510,0,1,0,3,1,4,0,0,4,0
ENSMUSG00000075511,30,34,91,34,40,49,43,20,39,20
ENSMUSG00000075512,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075514,22,56,32,42,74,42,55,46,41,40
ENSMUSG00000075517,0,2,0,0,4.027999559,0,10,2,0,0
ENSMUSG00000075520,942,33,1156,238,163,194,26,4,33,2
ENSMUSG00000075524,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075525,0,1,0,2,1,2,0,2,0,2
ENSMUSG00000075528,190.5886149,249.3964918,325.6848526,240.4495981,276.2349995,313.6505219,252.2414176,194.4913469,208.5016259,196.3954624
ENSMUSG00000075534,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075538,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075543,6,0,21,1,0,0,1,0,0,0
ENSMUSG00000075549,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075551,0,0,3.003698524,0,0,0,0,0,0,0
ENSMUSG00000075552,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075553,1.021463482,5.00307645,2,3,9,2,6.092607865,2.586447675,2,4.270788751
ENSMUSG00000075555,3.095824123,2,1,1.125337788,1,5,1,4,5,1.403718772
ENSMUSG00000075558,0.836410011,2.331932304,1.062961029,0,0,1,5,2,2.358463143,5
ENSMUSG00000075566,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075567,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075569,3,10.91896586,1,3,3,9,2,4,8,3
ENSMUSG00000075570,2.009469643,1.00003753,0,1.001078294,2.15952586,0,0,1.000083168,2.002703627,3.00040376
ENSMUSG00000075571,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075572,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075573,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075574,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075576,6,14,9,12,9,9,8,9,8,9
ENSMUSG00000075581,0,0,0,0,0,0,0,0,2.180047698,1.077496391
ENSMUSG00000075585,40,122,65,165,212,110,112,106,153,95
ENSMUSG00000075586,0,1,0,5,3,2,0,6,5,2
ENSMUSG00000075587,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075588,3,14,9,5,19,6,8,7,11,7
ENSMUSG00000075589,0,1,0,0,1,1,0,0,0,0
ENSMUSG00000075590,121.7789536,315.4231017,238,304,364,239,387,325,255,319
ENSMUSG00000075591,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000075592,26,268,59,184,274,207,211,197,254,174
ENSMUSG00000075593,1,0,0,2,2,2,0,0,1,1
ENSMUSG00000075595,734.2273196,1365.049196,873.0583553,1105.941212,1441.766664,848.1956254,1036.701061,1033.513624,1159.846436,887.2425358
ENSMUSG00000075598,0,0,0,1.82E-06,0,0,5.53E-06,0,0,0
ENSMUSG00000075599,0,0,0,9.44E-06,0,0,2.49E-05,0,0,0
ENSMUSG00000075600,327.3975116,792,514.1115757,661,1108,878,676,689,628,444
ENSMUSG00000075602,908,495,994,498,463,1004.996849,453,275,303.3551754,507
ENSMUSG00000075604,0,0,0,0,2.006980896,0,3.000216951,47.33176615,6.068267328,0
ENSMUSG00000075605,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000075609,0,0,2.155742581,0,0,0,2.332404858,0,0,2.188182774
ENSMUSG00000075610,68,8,151,19,15,24,5,0,2,0
ENSMUSG00000075611,90,2,142,19,14,22,6,0,3,1
ENSMUSG00000075700,2334.569665,4054.499171,3192.669759,3766.495187,4883.053608,3381.452178,3048.5878,3341.136895,4105.251463,3449.362973
ENSMUSG00000075701,895,1217,1163,1092,2013,1778,1489,1105,1286,1112
ENSMUSG00000075702,181,968,450,695,1344,1305,1175,835,961,636
ENSMUSG00000075703,890,644,1244,616,770,653,586,472,533,433
ENSMUSG00000075704,182,134,340,115,155,157,133,76,111,107
ENSMUSG00000075705,362,291,401,275,357,342,398,222,249,339
ENSMUSG00000075706,2848,1168,4129,1521,1866,2128,1230,877,1048,912.4551415
ENSMUSG00000075707,0,1,0,0,2,0,0,1,0,0
ENSMUSG00000075719,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075726,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075770,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075826,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075829,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075832,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075837,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075874,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075903,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075908,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075934,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075952,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075958,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075968,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000075983,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076005,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076006,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076009,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076010,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076011,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076012,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076014,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076028,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076033,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076041,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076042,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076049,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076050,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076051,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076052,0,0,0,0,0,0,1,0,1,1
ENSMUSG00000076060,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000076062,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076063,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076064,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076065,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000076066,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076067,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076068,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076118,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076119,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076120,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076121,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076122,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076123,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076126,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076127,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076128,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076138,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076140,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076141,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076142,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076143,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076144,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000076145,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076146,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076147,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076163,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076212,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076214,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076216,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076217,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076218,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076219,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076222,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076236,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076240,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076241,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076251,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076252,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076255,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076256,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076269,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000076270,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076271,0,0,2,0,0,1,0,0,0,1
ENSMUSG00000076272,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076275,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076286,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076288,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076309,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076312,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076313,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076315,0,1,0,1,1,1,0,0,2,0
ENSMUSG00000076316,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076318,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076333,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076335,0,0,0,0,2,0,1,0,0,0
ENSMUSG00000076338,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076357,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076361,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076372,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076376,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076377,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076379,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076387,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076396,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076398,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076399,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076424,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076430,0,0,0,1,0,1,0,0,0,2
ENSMUSG00000076431,151,500,345.972461,516,599.450139,531.9206199,882,684.8123103,761,816
ENSMUSG00000076432,2057,4103,2987.981327,3510.590495,4866.318729,4340.448916,3777,3165.802354,3823.042545,2911
ENSMUSG00000076433,0,0,0,2,0,1,0,0,0,0
ENSMUSG00000076434,1,10,2,4,6,7,6,3,3,2
ENSMUSG00000076435,704,227.3781787,889.4366734,336,531.6853718,421,215,172,177.6374552,130
ENSMUSG00000076436,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000076437,104,90,152,81,122,200,90,67,75,71
ENSMUSG00000076438,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076439,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000076441,446,372,128,237,283.280424,320.0665036,258,220.4104736,235,367
ENSMUSG00000076444,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076448,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076450,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076451,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076453,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076454,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076455,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076456,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076457,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000076458,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076459,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076460,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000076461,30,7,1,2,0,6,1,2,0,0
ENSMUSG00000076462,36,6,2,0,1,3,0,0,1,3
ENSMUSG00000076463,77,4,1,6,1,2,4,0,1,5
ENSMUSG00000076465,23.26879659,1.83893113,1,5,2,5.970073529,0,0,0,0
ENSMUSG00000076467,44,4,1,4,1,3,0,0,0,5
ENSMUSG00000076469,45,4,0,6,7,7,2,0,0,4
ENSMUSG00000076470,29,1,0,7,4,5,0,1,0,2
ENSMUSG00000076471,10,1,1,1,0,2,0,0,0,0
ENSMUSG00000076472,31,4,1,4,0,8,0,1,0,3
ENSMUSG00000076473,48,5,1,2,3,3,1,0,0,1
ENSMUSG00000076474,24,5,0,1,2,0,0,0,0,0
ENSMUSG00000076475,34,3,1,6,1,2,0,0,0,3
ENSMUSG00000076476,16,0,0,5,2,4,0,0,0,0
ENSMUSG00000076477,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076478,2,0,0,0,0,2,0,0,0,0
ENSMUSG00000076479,17,4,0,1,2,4,0,1,0,1
ENSMUSG00000076480,20,1,0,7,4,0,0,1,0,2
ENSMUSG00000076481,1,0,0,0,0,0,0,0,1,0
ENSMUSG00000076483,8,0,1,3,1,1,0,0,0,1
ENSMUSG00000076484,5,0,0,0,0,1,0,0,1,0
ENSMUSG00000076485,12,1,0,0,0,1,0,0,0,0
ENSMUSG00000076486,3,0,0,0,0,0,0,0,0,1
ENSMUSG00000076487,5,1,0,0,1,0,0,0,1,2
ENSMUSG00000076488,4,1,0,0,1,0,1,0,0,0
ENSMUSG00000076489,5,0,0,0,0,0,0,0,0,1
ENSMUSG00000076490,667.2897876,52.65859581,26.25171483,85.2687427,46.94214129,142.2715983,15.36500832,22.20973634,3.694493993,40.66722588
ENSMUSG00000076492,16,2,1,1,1,0,0,0,0,2
ENSMUSG00000076493,3,0,0,0,0,2,0,0,0,0
ENSMUSG00000076494,12,1,0,1,1,1,0,0,0,0
ENSMUSG00000076495,10,1,0,0,0,1,0,1,0,0
ENSMUSG00000076496,2,0,0,1,0,0,0,0,0,0
ENSMUSG00000076497,15,1,2,3,2,2,0,0,0,1
ENSMUSG00000076498,1424.710212,117.3414042,42.74828517,180.7312573,123.0578587,250.7284017,24.63499168,17.79026366,11.30550601,105.3327741
ENSMUSG00000076499,35,2,0,1,1,1,0,0,1,1
ENSMUSG00000076500,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076501,108.5379326,180.0757838,2.768150656,164.4443803,79.88537472,272.0117258,54.69792586,13.39942449,36.38251419,36.65598575
ENSMUSG00000076505,0,0,0,0,1.014434816,0,1.064259907,0,0,0
ENSMUSG00000076508,686.4015922,43.19083969,14.60869565,42.95238095,48.32911392,98.28292683,87.86206897,17,66.3255814,33.75
ENSMUSG00000076512,0,4,2,13,2,2,10,5,6,0
ENSMUSG00000076514,221.5984078,94.80916031,9.391304348,45.04761905,34.67088608,120.7170732,94.13793103,7,25.6744186,65.25
ENSMUSG00000076518,43,8,1,1,3,4,28,11,29,19
ENSMUSG00000076522,730,94,5,76,13,59,17,4,100,64
ENSMUSG00000076523,154,105,53,165,68,136,43,51,65,49
ENSMUSG00000076525,15,12,0,365.3920058,16,18,4,1,12,0
ENSMUSG00000076526,12,10,6,13,9,21,0,2,11,9
ENSMUSG00000076530,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076531,2,1,0,2,3,4,1,1,1,1
ENSMUSG00000076532,70.07087382,308.7315487,15,232.1255686,159,976,154,102,51.16927924,151
ENSMUSG00000076533,1,1,4,0,4,6,0,0,3.799999993,3
ENSMUSG00000076534,8,126,5,21,8,51,8,27,36,75
ENSMUSG00000076535,41,18,30,31,18,7,2,4,38,2
ENSMUSG00000076536,23.0211918,28.28861706,13,33.04517286,4,58.28541298,6,12,63.19039471,27.94402879
ENSMUSG00000076538,22.38219895,25.77108434,5.833333333,53.18435754,29.64705882,84.14728682,35.25,5.909090909,17.29411765,61.36448598
ENSMUSG00000076539,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000076540,19.44354552,106.1685887,3.175511725,50.36588372,7.271209799,84.68329506,7,3.468981269,2.119299646,13.24272064
ENSMUSG00000076541,4.013112285,4,0,179.9123165,2.020274852,7.049065444,2,3.032943132,4.183795113,7.192368095
ENSMUSG00000076543,18.71563685,30.06037326,3.191019935,10.92876281,14.43514561,67.06809768,3,5.612638986,8.406288642,6.025358882
ENSMUSG00000076545,177.7146476,44,19,108.4908919,20.03716034,402.5427002,20,14,32.47710197,35.87259792
ENSMUSG00000076547,302.0700533,10.58171954,7.574491529,15.61451548,2.059950469,9.393158201,7.034755338,1.279286283,51.08567416,2.106899917
ENSMUSG00000076548,32.19774376,7,0,1.004184103,2.011391555,3.016608865,0,0,15.13112773,4.006779577
